,Employee,Sl.No,Lat,Lon,Pool,Order
45,501865,833,13.034615,77.770171,7,1
46,490746,811,13.0288166,77.7662848,7,2
47,514035,68,12.878005,77.7628209,7,3
48,313889,54,12.865978,77.7664519,7,4
49,424221,713,12.865978,77.7664519,7,5
50,436165,554,12.865376,77.767262,7,6
51,491597,260,13.031569,77.5036734,8,1
52,485184,680,12.971754,77.499463,8,2
53,259312,717,12.9962342,77.489466,8,3
54,434652,100,12.9920346,77.504651,8,4
55,450491,225,13.0009826,77.5062158,8,5
56,311399,40,13.0157174,77.5243373,8,6
57,494116,464,13.014791,77.5182321,8,7
58,495627,400,13.0017564,77.532054,8,8
59,309376,854,13.0023069,77.5318463,8,9
60,373581,304,12.9967094,77.5281768,8,10
61,486112,539,12.922911,77.605617,8,11
62,372757,224,13.0892467,77.5460989,9,1
63,488758,630,13.0801035,77.5479285,9,2
64,434615,769,13.0813165,77.548324,9,3
65,439971,700,13.0381622,77.5182773,9,4
66,432227,155,13.039872,77.5182112,9,5
67,300111,190,13.043658,77.520647,9,6
68,242465,970,13.046299,77.519894,9,7
69,334680,1028,13.0511664,77.5073327,9,8
70,454815,855,13.0486003,77.5099546,9,9
71,306005,434,13.0464657,77.5076196,9,10
72,271056,874,13.0470904,77.5007467,9,11
73,345656,649,13.0847816,77.5130133,10,1
74,449868,278,13.0694711,77.5089365,10,2
75,527732,887,13.0602581,77.5194317,10,3
76,355042,505,13.0614032,77.5179937,10,4
77,303027,740,13.073706,77.522979,10,5
78,218498,578,13.074765,77.5166828,10,6
79,333720,159,13.074765,77.5166828,10,7
80,470416,515,13.074765,77.5166828,10,8
81,471601,600,12.7871572,77.6525165,11,1
82,481797,312,12.8044376,77.673387,11,2
83,481736,9,12.8044376,77.673387,11,3
84,481742,135,12.8044376,77.673387,11,4
85,338193,832,12.7991946,77.6665501,11,5
86,434911,738,12.8011396,77.6618096,11,6
87,355732,559,13.003239,77.469992,12,1
88,327740,523,12.9826712,77.5359944,12,2
89,434594,416,12.9831801,77.5301753,12,3
90,469246,976,12.9764678,77.5257345,12,4
91,271413,883,12.9749904,77.5093455,12,5
92,284619,946,12.979819,77.505141,12,6
93,493530,787,12.979819,77.505141,12,7
94,353377,860,12.9810607,77.517313,12,8
95,488236,426,12.9700935,77.5165064,12,9
96,353781,258,12.8889803,77.6247989,12,10
97,444784,705,12.831385,77.700493,13,1
98,434276,568,12.8416717,77.6848612,13,2
99,449881,83,12.8385071,77.6842037,13,3
100,335341,848,12.8361469,77.6905057,13,4
101,495134,74,12.8323054,77.6969215,13,5
102,463747,950,12.838258,77.649585,14,1
103,434921,982,12.8379151,77.6583044,14,2
104,365705,730,12.841878,77.6456088,15,1
105,348402,193,12.84249,77.6518227,15,2
106,531550,631,12.8459003,77.6473876,15,3
107,482651,410,12.845799,77.647487,15,4
108,498348,528,12.842669,77.6472241,15,5
109,293117,872,12.841668,77.64645,15,6
110,494582,62,12.8418006,77.6459482,15,7
111,339629,691,12.9835886,77.7684026,16,1
112,287755,59,12.9833522,77.7679893,16,2
113,288177,762,12.9414612,77.7472156,16,3
114,492660,727,12.940195,77.7470704,16,4
115,496305,441,12.935674,77.745631,16,5
116,501975,31,12.9310955,77.7596919,16,6
117,494011,453,12.941381,77.758279,16,7
118,522293,234,13.0368124,77.6584254,17,1
119,506345,721,13.0000025,77.676529,17,2
120,484099,723,12.9952715,77.6594561,17,3
121,505430,683,13.0038913,77.6573823,17,4
122,518366,587,13.0047636,77.6564983,17,5
123,337323,439,13.0059108,77.6508887,17,6
124,485422,536,13.0145817,77.6480452,17,7
125,338368,39,13.0109623,77.6606019,17,8
126,326064,1002,12.890833,77.673374,17,9
127,480957,870,12.907216,77.7056053,18,1
128,306197,953,12.9072859,77.6955069,18,2
129,334882,326,13.053867,77.572805,19,1
130,340070,672,13.0431944,77.5612324,19,2
131,359077,709,13.047798,77.578341,19,3
132,494013,544,12.975853,77.598005,19,4
133,483996,299,12.9844238,77.60428,19,5
134,344562,694,12.983997,77.597412,19,6
135,306822,36,12.991111,77.598045,19,7
136,485137,170,12.9913022,77.6010952,19,8
137,519193,389,12.9976156,77.6051722,19,9
138,511631,820,13.000152,77.6084,19,10
139,474147,573,13.000797,77.608686,19,11
140,449749,878,13.0068389,77.7674602,20,1
141,485854,222,12.9861792,77.744921,20,2
142,498491,401,12.9837615,77.7524946,20,3
143,C68796,343,12.984209,77.755942,20,4
144,493805,654,12.9977327,77.7590293,20,5
145,341145,460,13.0060844,77.7512276,20,6
146,346535,357,13.007897,77.755569,20,7
147,299726,612,13.0060836,77.7568283,20,8
148,431470,793,13.0084515,77.7588807,20,9
149,329178,829,12.9827008,77.681182,21,1
150,465130,983,12.9740402,77.6730246,21,2
151,284661,979,12.966896,77.682784,21,3
152,487449,777,12.966896,77.682784,21,4
153,354048,604,12.966896,77.682784,21,5
154,314866,456,12.966896,77.682784,21,6
155,357064,89,12.966896,77.682784,21,7
156,324601,268,12.966896,77.682784,21,8
157,357058,458,12.9672811,77.6827732,21,9
158,287586,954,12.963247,77.681079,21,10
159,334817,917,12.9451022,77.6802862,21,11
160,531731,1018,13.0356842,77.5953513,22,1
161,463583,72,13.007631,77.591922,22,2
162,A463583,517,13.007631,77.591922,22,3
163,279360,914,13.0174503,77.5907599,22,4
164,483686,251,13.013505,77.593657,22,5
165,491559,725,13.0159126,77.5973967,22,6
166,287822,533,13.0264624,77.6039726,22,7
167,537899,825,13.0286245,77.6045107,22,8
168,505889,766,13.0377913,77.6054595,22,9
169,305565,764,13.037433,77.6051058,22,10
170,454291,495,13.038732,77.603689,22,11
171,325364,20,13.039942,77.553467,23,1
172,C67915,421,13.0200391,77.5564428,23,2
173,503748,483,13.0214274,77.5585269,23,3
174,255742,889,13.0249331,77.5574221,23,4
175,430871,192,13.041712,77.572599,23,5
176,82322,745,12.8623744,77.6134478,23,6
177,487095,639,12.8589085,77.613768,23,7
178,353521,886,12.8589085,77.613768,23,8
179,503826,690,12.8584304,77.6050843,23,9
180,373158,147,13.064838,77.5871508,24,1
181,461505,575,13.0529125,77.6014859,24,2
182,34898,252,13.0503765,77.5985221,24,3
183,279855,329,13.0551972,77.5952529,24,4
184,434799,863,13.0651509,77.5929135,24,5
185,460877,442,13.0606441,77.5832324,24,6
186,496286,846,13.0620561,77.5877542,24,7
187,313924,390,13.0646338,77.5891429,24,8
188,420602,403,13.0305979,77.6214638,25,1
189,535878,902,13.0058915,77.6230853,25,2
190,485292,188,13.0119668,77.6172185,25,3
191,514425,198,13.0133735,77.6166815,25,4
192,349760,545,13.015019,77.617312,25,5
193,292362,1029,13.0194086,77.6285313,25,6
194,497155,909,13.0073842,77.6409553,25,7
195,499869,476,12.913891,77.6772659,25,8
196,478313,822,12.9154789,77.681483,25,9
197,493722,838,12.9282987,77.6799114,26,1
198,334542,625,12.921336,77.662956,26,2
199,330941,247,12.9213943,77.6649567,26,3
200,476754,857,12.9255055,77.6654327,26,4
201,474073,651,12.9241293,77.665768,26,5
202,478767,746,12.9238309,77.674399,26,6
203,496279,171,12.9254422,77.675923,26,7
204,494478,164,12.9263241,77.6744052,26,8
205,244856,136,12.9263026,77.6752784,26,9
206,355019,178,12.9263026,77.6752784,26,10
207,476809,580,12.927473,77.676531,26,11
208,500757,915,13.036097,77.566624,27,1
209,328116,563,13.037871,77.5742768,27,2
210,505980,1039,13.0375486,77.5748598,27,3
211,426829,923,13.0357071,77.5781221,27,4
212,328634,238,13.035164,77.579454,27,5
213,346049,1019,13.0308179,77.5775692,27,6
214,359171,648,13.0333672,77.5757074,27,7
215,367596,294,13.032471,77.572922,27,8
216,456491,961,13.0282224,77.5698191,27,9
217,114445,652,13.0305553,77.5704826,27,10
218,288967,284,13.033771,77.568716,27,11
219,484346,1050,13.03441,77.5513308,28,1
220,476976,1034,13.0285023,77.5588019,28,2
221,466551,2,13.0318681,77.5595538,28,3
222,307903,671,13.0324337,77.5584939,28,4
223,313173,930,13.034157,77.559943,28,5
224,241307,276,13.0363247,77.5558518,28,6
225,228283,28,13.0356385,77.5576964,28,7
226,333724,799,13.0341646,77.5575197,28,8
227,262017,134,13.0327686,77.5541592,28,9
228,434827,737,13.0794492,77.5596005,29,1
229,451738,122,13.063922,77.567588,29,2
230,99582,412,13.0648256,77.5595314,29,3
231,304198,899,13.0669965,77.5599588,29,4
232,487452,974,13.0736571,77.5539717,29,5
233,485400,48,13.074555,77.559879,29,6
234,271155,681,13.076233,77.5582663,29,7
235,327968,888,13.076752,77.557988,29,8
236,312664,352,13.0794492,77.5596005,29,9
237,491711,615,13.0794492,77.5596005,29,10
238,355022,823,13.0075802,77.5639679,30,1
239,471602,765,12.996397,77.564241,30,2
240,288275,534,12.9987351,77.5616575,30,3
241,352387,552,13.001735,77.563356,30,4
242,485394,675,13.0057882,77.5652552,30,5
243,493060,851,12.9962605,77.5758061,30,6
244,428205,617,12.9969223,77.5754318,30,7
245,373723,969,12.9989533,77.5774094,30,8
246,289257,152,12.9449721,77.4911598,31,1
247,338143,981,12.95208,77.498299,31,2
248,278152,50,12.949987,77.500934,31,3
249,512644,139,12.945354,77.499384,31,4
250,472757,402,12.9208405,77.4847527,31,5
251,215020,553,12.9230523,77.4846519,31,6
252,434967,660,12.929379,77.486928,31,7
253,434764,427,12.935461,77.49235,31,8
254,472497,669,12.9384455,77.4947688,31,9
255,360759,668,12.8643294,77.6477838,32,1
256,331753,58,12.8554706,77.6648956,32,2
257,455813,510,12.8641691,77.6623994,32,3
258,500248,430,12.867912,77.656533,32,4
259,490322,841,12.9599448,77.5082833,33,1
260,255660,772,12.9706963,77.524864,33,2
261,293118,211,12.9706963,77.524864,33,3
262,473542,117,12.960611,77.5124376,33,4
263,434783,345,12.9607974,77.5117555,33,5
264,291519,165,12.957698,77.508237,33,6
265,502499,960,12.93132,77.515541,33,7
266,490286,1009,12.9311071,77.5149075,33,8
267,478990,704,12.855417,77.5861201,33,9
268,494691,227,12.861107,77.5796731,33,10
269,302117,561,12.9738222,77.5461283,34,1
270,491623,619,12.9742954,77.5491271,34,2
271,533139,634,12.9742954,77.5491271,34,3
272,503681,29,12.965947,77.553013,34,4
273,440511,388,12.9546387,77.5904467,34,5
274,493800,489,12.9588557,77.5872094,34,6
275,449957,33,12.964818,77.581165,34,7
276,294162,781,12.9688161,77.5771814,34,8
277,244491,1010,12.9593698,77.5469348,35,1
278,493808,750,12.949066,77.56392,35,2
279,498904,775,12.9486097,77.5607439,35,3
280,490325,81,12.9455888,77.5712556,35,4
281,485429,749,12.9226775,77.5935667,35,5
282,513975,880,12.9226775,77.5935667,35,6
283,258360,938,12.9226775,77.5935667,35,7
284,366569,334,12.910593,77.606324,35,8
285,528582,146,12.910593,77.606324,35,9
286,471979,862,12.998524,77.544044,36,1
287,304486,195,12.9919686,77.544852,36,2
288,235363,936,12.9919686,77.544852,36,3
289,309256,581,12.9950679,77.5458883,36,4
290,460887,679,12.9974524,77.5470041,36,5
291,434898,996,12.9881038,77.5599475,36,6
292,290743,110,12.9849815,77.553344,36,7
293,450183,373,12.9875654,77.5545514,36,8
294,522949,911,13.0075347,77.5268208,37,1
295,459602,181,13.0104967,77.5502392,37,2
296,92378,993,13.016222,77.5435732,37,3
297,463757,35,13.0118457,77.5441163,37,4
298,373121,978,13.005911,77.541147,37,5
299,292139,488,13.008628,77.5429044,37,6
300,335098,842,13.0123341,77.5374106,37,7
301,324390,96,13.0094699,77.5335778,37,8
302,437721,767,13.0038882,77.5525543,38,1
303,527426,834,12.9985345,77.5569524,38,2
304,528298,303,12.9969667,77.5546875,38,3
305,434826,868,12.9999666,77.5532315,38,4
306,286767,429,13.0012927,77.5558647,38,5
307,485381,381,13.0040304,77.5601079,38,6
308,279274,572,13.005335,77.557378,38,7
309,493510,564,13.00531,77.556857,38,8
310,291604,662,13.0039709,77.554846,38,9
311,490319,656,12.9538653,77.5232461,39,1
312,527680,361,12.9631454,77.5392753,39,2
313,242451,621,12.9628174,77.5378937,39,3
314,236505,728,12.9628174,77.5378937,39,4
315,294011,731,12.9633585,77.5371718,39,5
316,292618,266,12.9579614,77.5340661,39,6
317,498548,274,12.9601968,77.5346638,39,7
318,456198,397,12.9619568,77.5335821,39,8
319,294263,212,12.9532805,77.529234,39,9
320,217852,94,12.9658144,77.5417665,40,1
321,435088,650,12.975534,77.55615,40,2
322,485626,1035,12.975498,77.55428,40,3
323,478643,34,12.977272,77.553603,40,4
324,478779,1023,12.9755518,77.5313312,41,1
325,529365,162,12.9773575,77.5423404,41,2
326,485280,985,12.9756171,77.5395435,41,3
327,226423,1040,12.976346,77.5354295,41,4
328,110796,474,12.968032,77.530473,41,5
329,490917,771,12.968032,77.530473,41,6
330,533893,106,12.9703437,77.5303743,41,7
331,497659,331,12.9720153,77.5292408,41,8
332,503752,508,12.9719161,77.5298856,41,9
333,284656,119,12.9755518,77.5313312,41,10
334,274378,932,12.9755518,77.5313312,41,11
335,277641,353,12.9677291,77.5361731,42,1
336,267763,428,12.9655103,77.5347448,42,2
337,478737,315,12.9655103,77.5347448,42,3
338,467430,387,12.9655103,77.5347448,42,4
339,313957,858,12.9674699,77.5359608,42,5
340,372621,413,12.9674699,77.5359608,42,6
341,372124,215,12.9674699,77.5359608,42,7
342,474952,113,12.9674699,77.5359608,42,8
343,299539,91,12.9674699,77.5359608,42,9
344,472209,101,12.9674699,77.5359608,42,10
345,372144,632,12.9619336,77.5194316,43,1
346,C73308,593,12.9597914,77.5289797,43,2
347,462137,291,12.960408,77.528869,43,3
348,434772,906,12.960255,77.5239628,43,4
349,506466,603,12.9984796,77.5369848,44,1
350,498053,254,12.993982,77.533248,44,2
351,517606,611,12.9920817,77.5322046,44,3
352,489185,103,12.988226,77.532212,44,4
353,54838,433,12.988563,77.533686,44,5
354,307947,636,12.9872407,77.5396944,44,6
355,365974,685,12.9881775,77.5376884,44,7
356,476918,1005,12.9881775,77.5376884,44,8
357,493796,818,12.9914541,77.5382202,44,9
358,300113,65,12.9937624,77.5390054,44,10
359,491637,414,12.994886,77.5376694,44,11
360,363762,491,12.9515858,77.6222729,45,1
361,440513,1048,12.941021,77.6311797,45,2
362,337403,1044,12.9386204,77.633132,45,3
363,DK0T9644,977,12.9382435,77.6327997,45,4
364,334649,480,12.9343954,77.6240335,45,5
365,340579,1001,12.939684,77.625449,45,6
366,304520,265,12.9389778,77.6190552,45,7
367,491587,3,12.9459597,77.619103,45,8
368,434549,1025,12.945041,77.619403,45,9
369,431729,317,12.9462606,77.6218629,45,10
370,363988,658,12.9515858,77.6222729,45,11
371,509009,577,12.959414,77.55966,46,1
372,486760,655,12.9554078,77.5669967,46,2
373,523389,760,12.9570249,77.5645397,46,3
374,502676,989,12.9570249,77.5645397,46,4
375,435071,1047,12.9332503,77.5839116,46,5
376,497633,706,12.9405603,77.5840661,46,6
377,501894,773,12.874439,77.6167924,46,7
378,123456,677,12.8805124,77.6165593,46,8
379,484557,368,12.878812,77.61108,46,9
380,471033,115,12.8788416,77.6105171,46,10
381,487284,987,13.0032242,77.6359377,47,1
382,355949,356,13.0006219,77.6302854,47,2
383,309948,755,13.0006219,77.6302854,47,3
384,512924,797,12.919912,77.6496856,47,4
385,516394,277,12.919912,77.6496856,47,5
386,364193,521,12.919912,77.6496856,47,6
387,434874,543,12.9201596,77.6512411,47,7
388,305119,579,12.9201596,77.6512411,47,8
389,474066,220,12.9224483,77.6512716,47,9
390,461317,913,12.8856868,77.6527888,48,1
391,432034,622,12.8790962,77.6550025,48,2
392,503798,509,12.881217,77.655299,48,3
393,503572,485,12.9008804,77.6487251,49,1
394,434774,467,12.8990582,77.65836,49,2
395,300343,511,12.8985899,77.6514648,49,3
396,292838,595,12.915633,77.535133,50,1
397,327721,13,12.9292328,77.5644205,50,2
398,37390,900,12.9263762,77.5635574,50,3
399,482639,957,12.9269955,77.5615652,50,4
400,306198,359,12.9269955,77.5615652,50,5
401,330917,132,12.9215496,77.5709726,50,6
402,330921,56,12.9115148,77.5730669,50,7
403,364707,305,12.9014521,77.5903365,50,8
404,433953,236,12.8889867,77.6156282,50,9
405,434760,102,12.943483,77.537467,51,1
406,310528,791,12.935663,77.544961,51,2
407,522245,599,12.9344948,77.5345164,51,3
408,516393,167,12.9387677,77.5393675,51,4
409,228616,827,12.9387677,77.5393675,51,5
410,507820,121,12.9427212,77.5973844,51,6
411,333011,518,12.94382,77.5970595,51,7
412,485293,1049,12.949604,77.599442,51,8
413,492656,864,12.9482134,77.5972261,51,9
414,485279,608,12.9021902,77.518582,52,1
415,304131,348,12.9043065,77.5273781,52,2
416,363052,972,12.9040435,77.5256125,52,3
417,301220,288,12.9078962,77.525217,52,4
418,461507,440,12.9069444,77.520704,52,5
419,294028,991,12.908457,77.537545,52,6
420,333771,790,12.90778,77.533782,52,7
421,468826,986,12.8706989,77.5831254,52,8
422,107755,999,12.8713686,77.579319,52,9
423,297816,493,12.8722514,77.5784473,52,10
424,327554,624,12.8781733,77.5794647,52,11
425,490939,257,12.917865,77.577757,53,1
426,450354,620,12.9202698,77.6027732,53,2
427,358466,394,12.9179872,77.6011609,53,3
428,314766,1017,12.916647,77.600092,53,4
429,482046,150,12.9166272,77.5998621,53,5
430,518377,904,12.9142864,77.593172,53,6
431,533067,637,12.9172579,77.5934227,53,7
432,324998,817,12.9198876,77.5879973,53,8
433,423987,300,12.9109596,77.5789444,53,9
434,485246,1000,12.90977,77.590608,53,10
435,365732,455,12.9304282,77.5395539,54,1
436,309543,646,12.9215114,77.5417137,54,2
437,434818,956,12.9264538,77.5404459,54,3
438,334492,770,12.930304,77.543569,54,4
439,434865,816,12.9304282,77.5395539,54,5
440,465162,46,12.9502149,77.5518668,55,1
441,485375,898,12.9433812,77.5588832,55,2
442,505070,196,12.944405,77.5547473,55,3
443,419151,555,12.9451708,77.5550121,55,4
444,304138,995,12.9467756,77.5519109,55,5
445,226171,332,12.9178883,77.5557846,56,1
446,492104,218,12.9133216,77.5619916,56,2
447,432071,590,12.9120094,77.5585542,56,3
448,373218,98,12.9135106,77.5590271,56,4
449,248590,207,12.9145787,77.5604232,56,5
450,308008,125,12.9161638,77.5585736,56,6
451,314840,582,12.9406849,77.5450175,57,1
452,428298,283,12.941903,77.550269,57,2
453,428425,718,12.934495,77.551699,57,3
454,493792,1036,12.936051,77.550147,57,4
455,434556,1032,12.9369319,77.5489585,57,5
456,485130,1038,12.938547,77.549342,57,6
457,532332,436,12.9395828,77.547343,57,7
458,1234,194,12.9420948,77.5463577,57,8
459,362076,835,12.9409158,77.5455919,57,9
460,286890,363,12.9386096,77.5535454,58,1
461,469223,903,12.931386,77.557563,58,2
462,339214,1046,12.9306785,77.5585386,58,3
463,522948,959,12.9343389,77.5659306,58,4
464,472780,355,12.9350181,77.563284,58,5
465,460814,696,12.9334382,77.5608672,58,6
466,437971,408,12.935107,77.560717,58,7
467,434593,280,12.937249,77.557598,58,8
468,484553,935,12.936933,77.556661,58,9
469,475434,7,12.924378,77.547211,59,1
470,434952,77,12.93051,77.55352,59,2
471,530056,293,12.93051,77.55352,59,3
472,365120,525,12.9289218,77.5521912,59,4
473,460203,153,12.9264752,77.5508957,59,5
474,449925,246,12.9256627,77.5492623,59,6
475,460390,97,12.924378,77.547211,59,7
476,456930,11,12.9233054,77.5533448,60,1
477,466695,470,12.920684,77.5598116,60,2
478,459029,984,12.9231115,77.5576428,60,3
479,513971,907,12.9228829,77.5563348,60,4
480,524981,712,12.9233054,77.5533448,60,5
481,327692,588,12.9440185,77.5642311,61,1
482,484509,547,12.926918,77.574262,61,2
483,478758,327,12.9281815,77.573515,61,3
484,428283,158,12.9323609,77.5720506,61,4
485,491956,482,12.934623,77.5739777,61,5
486,452337,142,12.9363019,77.5724813,61,6
487,461772,962,12.9368269,77.5721522,61,7
488,478582,324,12.9400358,77.5692083,61,8
489,496139,418,12.942898,77.5681966,61,9
490,449987,861,12.9434936,77.5644079,61,10
491,334523,819,12.905881,77.558019,62,1
492,338593,310,12.898811,77.574579,62,2
493,300358,918,12.9028954,77.5753749,62,3
494,450135,269,12.895509,77.564614,62,4
495,127757,566,12.899255,77.56493,62,5
496,297121,682,12.90074,77.5655766,62,6
497,434862,338,12.9089034,77.5665586,62,7
498,450066,221,12.908047,77.564945,62,8
499,372983,399,12.9051954,77.5628536,62,9
500,365198,336,12.901948,77.560666,62,10
501,476716,635,12.911324,77.545241,63,1
502,453613,697,12.9012224,77.5443381,63,2
503,217639,1030,12.901277,77.544156,63,3
504,461294,241,12.905119,77.54341,63,4
505,309154,795,12.9117176,77.5520637,63,5
506,514888,701,12.910838,77.5514442,63,6
507,495400,263,12.908866,77.552696,63,7
508,469229,275,12.90621,77.5491006,63,8
509,435096,245,12.9088334,77.5485857,63,9
510,502698,463,12.9289801,77.5911598,64,1
511,368114,551,12.9261736,77.5888496,64,2
512,328527,298,12.929743,77.5941783,64,3
513,308421,531,12.8818796,77.631959,64,4
514,533071,944,12.8814347,77.6297174,64,5
515,307249,306,12.8812268,77.6278377,64,6
516,434806,673,12.8798809,77.6250654,64,7
517,531720,667,12.9065521,77.5776364,65,1
518,444539,231,12.9037028,77.5804877,65,2
519,485645,1045,12.9053203,77.5799417,65,3
520,334249,519,12.893012,77.585912,65,4
521,338139,183,12.8848904,77.5820334,65,5
522,536905,0,12.8872556,77.5818367,65,6
523,286332,920,12.8895435,77.584658,65,7
524,485440,229,12.8906899,77.5826849,65,8
525,506871,602,12.8929276,77.5825059,65,9
526,246836,896,12.895851,77.5818297,65,10
527,477105,330,12.9113375,77.5856014,66,1
528,311068,379,12.9001857,77.5856105,66,2
529,329157,233,12.9027074,77.5838129,66,3
530,428254,815,12.9032059,77.5860585,66,4
531,339909,715,12.904788,77.585012,66,5
532,432822,166,12.9056435,77.585513,66,6
533,485250,565,12.9083667,77.5864765,66,7
534,450132,535,12.9133276,77.5876459,66,8
535,359167,592,12.9113375,77.5856014,66,9
536,495404,19,12.91257,77.600533,67,1
537,475265,487,12.9126796,77.6016781,67,2
538,473810,980,12.906483,77.599568,67,3
539,337452,452,12.878649,77.601347,67,4
540,297053,845,12.8766436,77.6000867,67,5
541,353437,927,12.9252855,77.6075668,68,1
542,482830,689,12.923326,77.6122897,68,2
543,434638,205,12.923326,77.6122897,68,3
544,338345,21,12.9259255,77.6089078,68,4
545,460788,498,12.917593,77.607449,68,5
546,494001,41,12.9164493,77.6064685,68,6
547,312217,372,12.916695,77.6067607,68,7
548,359305,279,12.917217,77.606828,68,8
549,430900,75,12.9138144,77.6067467,68,9
550,298719,601,12.9136913,77.6064613,68,10
551,368195,201,12.8972848,77.6148585,68,11
552,300028,571,12.8975848,77.6001123,69,1
553,536561,1003,12.892733,77.613565,69,2
554,432450,768,12.8926741,77.6104933,69,3
555,533115,365,12.8913734,77.6080616,69,4
556,334403,865,12.888914,77.60498,69,5
557,375036,916,12.8919724,77.6024239,69,6
558,464894,393,12.890737,77.6005879,69,7
559,480372,663,12.890571,77.59801,69,8
560,513206,47,12.8909633,77.5977338,69,9
561,338094,522,12.8922303,77.5985733,69,10
562,307029,897,12.8961216,77.599689,69,11
563,437471,108,12.9241809,77.6157062,70,1
564,474437,344,12.921591,77.613673,70,2
565,460687,871,12.9227885,77.614291,70,3
566,341988,346,12.9227885,77.614291,70,4
567,358616,813,12.915149,77.6177686,70,5
568,449902,647,12.9153213,77.6173942,70,6
569,474308,235,12.9006753,77.6320967,70,7
570,307784,273,12.8901071,77.6463036,70,8
571,338074,358,12.9371768,77.6023295,71,1
572,296672,407,12.9317987,77.6074098,71,2
573,313110,287,12.931842,77.6085027,71,3
574,475268,32,12.9326377,77.6101635,71,4
575,516206,143,12.933094,77.611091,71,5
576,363010,722,12.933094,77.611091,71,6
577,480247,804,12.9367451,77.6104246,71,7
578,258447,779,12.9361892,77.6067835,71,8
579,426053,432,12.9292172,77.6332381,72,1
580,444410,438,12.9191291,77.6381231,72,2
581,342156,264,12.9204334,77.6357139,72,3
582,342119,226,12.9247414,77.6381547,72,4
583,113830,881,12.9248443,77.6346493,72,5
584,508431,800,12.916663,77.635041,72,6
585,338221,473,12.9140524,77.6356372,72,7
586,415696,325,12.908341,77.636878,72,8
587,434634,653,12.8748583,77.6468413,72,9
588,337060,828,12.8737284,77.6433476,72,10
589,365778,383,12.899818,77.622265,73,1
590,476254,423,12.8914842,77.6341501,73,2
591,308527,919,12.8893866,77.6307912,73,3
592,511723,616,12.8930954,77.6290686,73,4
593,490299,922,12.894539,77.625441,73,5
594,527440,51,12.8986206,77.6266648,73,6
595,478401,206,12.8986574,77.6264444,73,7
596,372076,869,12.8981062,77.6211628,73,8
597,478973,448,13.0432269,77.6256402,74,1
598,440563,180,13.0284163,77.6325214,74,2
599,485430,747,13.0319125,77.6356867,74,3
600,455387,527,13.0377347,77.6288279,74,4
601,12345,569,12.9764162,77.6266741,74,5
602,472988,308,12.9764162,77.6266741,74,6
603,474875,530,12.9764162,77.6266741,74,7
604,523360,607,12.981296,77.624447,74,8
605,428319,538,12.9119245,77.649052,74,9
606,364747,741,12.9161227,77.6101926,75,1
607,450255,952,12.9147416,77.6101795,75,2
608,462135,316,12.9147416,77.6101795,75,3
609,330919,370,12.915816,77.6101936,75,4
610,493767,849,12.9119172,77.6261169,75,5
611,491554,210,12.9117864,77.6259633,75,6
612,355533,780,12.9041471,77.6199608,75,7
613,330730,199,12.9049439,77.6193591,75,8
614,374908,753,12.907009,77.622047,75,9
615,455808,380,12.9090891,77.6238101,75,10
616,493814,852,12.9106725,77.6235413,75,11
617,355125,128,12.913976,77.609018,76,1
618,536903,807,12.9141014,77.6109503,76,2
619,431999,156,12.9141014,77.6109503,76,3
620,485258,391,12.912609,77.620242,76,4
